Date,Exp. Day,# Alive Tub 1,# Alive Tub 2,# Alive Tub 3,# Alive Tub 4,# Alive Tub 5,# Alive Tub 6,,% Alive Tub 1,% Alive Tub 2,% Alive Tub 3,% Alive Tub 4,% Alive Tub 5,% Alive Tub 6
pH treatment,,ambient,ambient,ambient,pH 7.8,pH 7.8,pH 7.8,,ambient,ambient,ambient,pH 7.8,pH 7.8,pH 7.8
Temp treatment,,ambient,ambient +4,ambient +2,ambient,ambient +2,ambient +4,,ambient,ambient +4,ambient +2,ambient,ambient +2,ambient +4
2013-01-05 00:00:00,154,16,9,7,10,13,1,,53.333333333333336,32.142857142857146,23.333333333333332,33.33333333333333,43.333333333333336,3.4482758620689653
2013-01-06 00:00:00,155,16,9,7,10,13,1,,53.333333333333336,32.142857142857146,23.333333333333332,33.33333333333333,43.333333333333336,3.4482758620689653
2013-01-07 00:00:00,156,16,9,7,9,13,1,,53.333333333333336,32.142857142857146,23.333333333333332,30,43.333333333333336,3.4482758620689653
2013-01-08 00:00:00,157,16,9,7,9,13,1,,53.333333333333336,32.142857142857146,23.333333333333332,30,43.333333333333336,3.4482758620689653
2013-01-09 00:00:00,158,16,9,7,9,12,1,,53.333333333333336,32.142857142857146,23.333333333333332,30,40,3.4482758620689653
2013-01-10 00:00:00,159,16,9,7,9,12,1,,53.333333333333336,32.142857142857146,23.333333333333332,30,40,3.4482758620689653
2013-01-11 00:00:00,160,16,9,7,9,12,1,,53.333333333333336,32.142857142857146,23.333333333333332,30,40,3.4482758620689653
2013-01-12 00:00:00,161,16,9,7,9,12,1,,53.333333333333336,32.142857142857146,23.333333333333332,30,40,3.4482758620689653
2013-01-13 00:00:00,162,16,9,6,9,12,1,,53.333333333333336,32.142857142857146,20,30,40,3.4482758620689653
2013-01-14 00:00:00,163,16,9,6,9,12,1,,53.333333333333336,32.142857142857146,20,30,40,3.4482758620689653
2013-01-15 00:00:00,164,16,9,6,9,12,1,,53.333333333333336,32.142857142857146,20,30,40,3.4482758620689653
2013-01-16 00:00:00,165,16,8,6,9,12,1,,53.333333333333336,28.57142857142857,20,30,40,3.4482758620689653
2013-01-17 00:00:00,166,16,8,6,9,12,1,,53.333333333333336,28.57142857142857,20,30,40,3.4482758620689653
2013-01-18 00:00:00,167,16,8,6,9,12,1,,53.333333333333336,28.57142857142857,20,30,40,3.4482758620689653
2013-01-19 00:00:00,168,16,8,6,8,12,1,,53.333333333333336,28.57142857142857,20,26.666666666666668,40,3.4482758620689653
2013-01-20 00:00:00,169,16,8,6,8,12,1,,53.333333333333336,28.57142857142857,20,26.666666666666668,40,3.4482758620689653
2013-01-21 00:00:00,170,16,8,6,8,12,1,,53.333333333333336,28.57142857142857,20,26.666666666666668,40,3.4482758620689653
2013-01-22 00:00:00,171,16,8,6,8,12,1,,53.333333333333336,28.57142857142857,20,26.666666666666668,40,3.4482758620689653
2013-01-23 00:00:00,172,16,8,6,8,12,1,,53.333333333333336,28.57142857142857,20,26.666666666666668,40,3.4482758620689653
2013-01-24 00:00:00,173,16,8,6,8,12,1,,53.333333333333336,28.57142857142857,20,26.666666666666668,40,3.4482758620689653
2013-01-25 00:00:00,174,16,8,6,8,12,1,,53.333333333333336,28.57142857142857,20,26.666666666666668,40,3.4482758620689653
2013-01-26 00:00:00,175,16,8,6,8,12,1,,53.333333333333336,28.57142857142857,20,26.666666666666668,40,3.4482758620689653
2013-01-27 00:00:00,176,16,8,6,8,12,1,,53.333333333333336,28.57142857142857,20,26.666666666666668,40,3.4482758620689653
2013-01-28 00:00:00,177,16,8,6,8,12,1,,53.333333333333336,28.57142857142857,20,26.666666666666668,40,3.4482758620689653
2013-01-29 00:00:00,178,16,8,6,8,12,1,,53.333333333333336,28.57142857142857,20,26.666666666666668,40,3.4482758620689653
2013-01-30 00:00:00,179,16,8,6,8,12,1,,53.333333333333336,28.57142857142857,20,26.666666666666668,40,3.4482758620689653
2013-01-31 00:00:00,180,16,8,6,8,12,1,,53.333333333333336,28.57142857142857,20,26.666666666666668,40,3.4482758620689653
2013-02-01 00:00:00,181,16,8,6,8,12,1,,53.333333333333336,28.57142857142857,20,26.666666666666668,40,3.4482758620689653
2013-02-02 00:00:00,182,16,8,6,8,12,1,,53.333333333333336,28.57142857142857,20,26.666666666666668,40,3.4482758620689653
2013-02-03 00:00:00,183,16,8,6,8,12,1,,53.333333333333336,28.57142857142857,20,26.666666666666668,40,3.4482758620689653
2013-02-04 00:00:00,184,16,8,6,8,12,1,,53.333333333333336,28.57142857142857,20,26.666666666666668,40,3.4482758620689653
